gerne,title,author,price,star,review,star_line
공포/스릴러,허수아비,마이클 코넬리 저/이창식 역                                                                          ,14220.0,9.6,18,1.0
공포/스릴러,파기환송,마이클 코넬리 저/전행선 역                                                                          ,13500.0,9.6,24,1.0
공포/스릴러,"더블, 더블",엘러리 퀸 저                                                                          ,11700.0,9.3,65,1.0
공포/스릴러,음양사 (상),유메마쿠라 바쿠 저/김소연 역                                                                          ,4500.0,9.4,32,1.0
공포/스릴러,블라인드 코너,방진호 저                                                                          ,9900.0,8.2,14,0.0
공포/스릴러,내가 잠들기 전에,S. J. 왓슨 저/김하락 역                                                                          ,12420.0,10.0,1,1.0
공포/스릴러,퍼스트 킬,방진호 저                                                                          ,10800.0,9.4,10,1.0
공포/스릴러,소설 시그널 2,김은희 원저                                                                          ,11700.0,8.6,5,0.0
공포/스릴러,소설 시그널 1,김은희 원저                                                                          ,11700.0,8.2,8,0.0
공포/스릴러,널 지켜보고 있어,마이클 로보텀 저/김지선 역                                                                          ,13320.0,9.5,2,1.0
공포/스릴러,지옥이 새겨진 소녀,안드레아스 그루버 저/송경은 역                                                                          ,13320.0,8.8,10,0.0
공포/스릴러,보이지 않는 친구 2,스티븐 크보스키 저/박아람 역                                                                          ,13320.0,9.5,114,1.0
공포/스릴러,마지막 패리시 부인,리브 콘스탄틴 저/박지선 역                                                                          ,13320.0,9.1,25,1.0
공포/스릴러,세계대전 Z 외전,맥스 브룩스 저 / 진희경 역                                                                          ,5400.0,8.0,54,0.0
공포/스릴러,음양사 (하),유메마쿠라 바쿠 저/김소연 역                                                                          ,4500.0,9.1,59,1.0
공포/스릴러,꿈의 연도,아리 마멜 저/홍지로 역                                                                          ,16200.0,8.5,2,0.0
공포/스릴러,러브크래프트 전집 4,H.P. 러브크래프트 저/정진영 역                                                                          ,13320.0,9.6,17,1.0
공포/스릴러,신을 받으라,박해로 저                                                                          ,11700.0,9.3,30,1.0
공포/스릴러,진상 하(下),미야베 미유키 저/이규원 역                                                                          ,13320.0,9.2,10,1.0
공포/스릴러,일곱명의 술래잡기,미쓰다 신조 저/현정수 역                                                                          ,12420.0,8.9,69,0.0
공포/스릴러,너의 집이 대가를 치를 것이다,스테프 차 저/이나경 역                                                                          ,12420.0,8.8,10,0.0
공포/스릴러,말할 수 없는 것들,제스 루리 저/안현주 역                                                                          ,14220.0,8.9,12,0.0
공포/스릴러,거울 살인,천지혜 저                                                                          ,11700.0,8.0,13,0.0
공포/스릴러,차일드 44 1,톰 롭 스미스 저/박산호 역                                                                          ,12600.0,7.9,35,0.0
공포/스릴러,진상 상(上),미야베 미유키 저/이규원 역                                                                          ,13320.0,7.8,24,0.0
공포/스릴러,내가 죽어야 하는 밤,제바스티안 피체크 저/배명자 역                                                                          ,13050.0,8.6,3,0.0
공포/스릴러,나는 언제나 옳다,길리언 플린 저/김희숙 역                                                                          ,9900.0,6.9,18,0.0
공포/스릴러,롱 워크,스티븐 킹 저                                                                          ,12420.0,8.0,11,0.0
공포/스릴러,야행관람차,미나토 가나에 저/김선영 역                                                                          ,10800.0,7.5,15,0.0
공포/스릴러,퍼스널,리 차일드 저                                                                          ,11700.0,7.5,14,0.0
공포/스릴러,팔란티어 2,김민영 저                                                                          ,11700.0,9.0,28,1.0
공포/스릴러,보이지 않는 친구 1,스티븐 크보스키 저/박아람 역                                                                          ,13320.0,8.6,9,0.0
공포/스릴러,속죄,미나토 가나에 저/김미령 역                                                                          ,11520.0,8.0,4,0.0
공포/스릴러,본 아이덴티티 2,로버트 러들럼 저/최필원 역                                                                          ,11250.0,8.8,6,0.0
공포/스릴러,팔란티어 3,김민영 저                                                                          ,11700.0,8.3,10,0.0
공포/스릴러,바이오하자드 1 ,S.D. 페리 저 / 구세희 역                                                                          ,12420.0,8.7,12,0.0
공포/스릴러,본 아이덴티티 1,로버트 러들럼 저/최필원 역                                                                          ,11250.0,8.8,10,0.0
공포/스릴러,파트너,존 그리샴 저                                                                          ,12600.0,9.0,1,1.0
공포/스릴러,"부디, 천국에 닿지 않기를",하세가와 유 저/김해용 역                                                                          ,9900.0,8.9,10,0.0
공포/스릴러,자정 4분 뒤 2,스티븐 킹 저/이은선 역                                                                          ,15120.0,9.2,45,1.0
공포/스릴러,엔더스,리사 프라이스 저                                                                          ,11700.0,9.2,25,1.0
공포/스릴러,팔란티어 1,김민영 저                                                                          ,11700.0,8.4,12,0.0
공포/스릴러,출구는 없다,테일러 애덤스 저/김지선 역                                                                          ,13500.0,9.2,164,1.0
공포/스릴러,렛미인 2,욘 아이비데 린드크비스트 저/최세희 역                                                                          ,9900.0,9.2,58,1.0
공포/스릴러,느카이의 진노,조시 레이놀즈 저/홍지로 역                                                                          ,16200.0,8.1,13,0.0
공포/스릴러,내가 너였을 때,민카 켄트 저/공보경 역                                                                          ,13500.0,8.9,33,0.0
공포/스릴러,무너진 세상에서,데니스 루헤인 저/조영학 역                                                                          ,12420.0,8.6,59,0.0
공포/스릴러,빌리 서머스 1,스티븐 킹 저/이은선 역                                                                          ,14220.0,8.6,7,0.0
공포/스릴러,착한 소녀의 거짓말,J.T. 엘리슨 저/민지현 역                                                                          ,14220.0,9.5,14,1.0
공포/스릴러,퍼펙트 마더,에이미 몰로이 저/심연희 역                                                                          ,14220.0,9.2,9,1.0
공포/스릴러,범죄자 (상),오타 아이 저/김은모 역                                                                          ,14220.0,8.2,33,0.0
공포/스릴러,해피엔드에 안녕을,우타노 쇼고 저/현정수 역                                                                          ,9900.0,8.0,9,0.0
공포/스릴러,최후의 의식 ,S A 시도르 저/홍지로 역                                                                          ,16200.0,7.1,6,0.0
공포/스릴러,사일런트 코너,딘 쿤츠 저/유소영 역                                                                          ,13320.0,7.8,15,0.0
공포/스릴러,자정 4분 뒤 1,스티븐 킹 저/이은선 역                                                                          ,15120.0,9.5,29,1.0
공포/스릴러,나는 혼자 여행 중입니다,사무엘 비외르크 저                                                                          ,14220.0,8.7,45,0.0
공포/스릴러,내 것이었던 소녀 ,마이클 로보텀 저/김지선 역                                                                          ,13320.0,8.5,7,0.0
공포/스릴러,소문의 여자,오쿠다 히데오 저/양윤옥 역                                                                          ,11520.0,8.5,22,0.0
공포/스릴러,키리고에 저택 살인사건,아야츠지 유키토 저/한희선 역                                                                          ,11700.0,7.0,4,0.0
공포/스릴러,몰타의 매,대실 해밋 저/김우열 역                                                                          ,8100.0,9.7,8,1.0
공포/스릴러,폐허 THE RUINS,스콧 스미스 저                                                                          ,13050.0,7.7,11,0.0
공포/스릴러,영원히 사라지다,할런 코벤 저/최필원 역                                                                          ,11700.0,10.0,1,1.0
공포/스릴러,블러드 온 스노우,요 네스뵈 저/노진선 역                                                                          ,10620.0,9.0,3,1.0
공포/스릴러,속죄,미나토 가나에 저                                                                          ,9900.0,8.0,1,0.0
공포/스릴러,아메리칸 사이코 (상),브렛 이스턴 엘리스 저/이옥진 역                                                                          ,11700.0,8.0,11,0.0
공포/스릴러,애완동물 공동묘지 (상),스티븐 킹 저/황유선 역                                                                          ,10800.0,6.9,7,0.0
공포/스릴러,크리스마스 건너뛰기,존 그리샴 저                                                                          ,6750.0,9.5,15,1.0
공포/스릴러,범죄자 (하),오타 아이 저/김은모 역                                                                          ,13320.0,9.0,2,1.0
공포/스릴러,블러드 워크 BLOOD WORK,마이클 코넬리 저/김승욱 역                                                                          ,10800.0,8.7,9,0.0
공포/스릴러,낫씽맨,캐서린 라이언 하워드 저/안현주 역                                                                          ,12600.0,9.0,5,1.0
공포/스릴러,피오르의 유령,이르사 시구르다르도티르 저/김진아 역                                                                          ,13050.0,9.2,28,1.0
